id_advert,modele,size,brand,price,price_decimal,ressell_price,promoted,identic_title_description,short_description,secure_description,has_emoji_description,other_campus_dressing,other_campus_dressing_count,hype_products_dressing,hype_products_dressing_count,other_campus_sell,other_campus_sell_count,hype_products_sell,hype_products_sell_count,description_user,sell_sneaker_account,item_count,total_items_count,given_item_count,taken_item_count,feedback_reputation,followers_count,following_count,gender,photo,is_publish_photos_agreed,expose_location,city,country_title,verification_facebook,verification_google,verification_phone,scam
3982741584,green,38.0,adidas,105.0,0,126,0,0,1,0,0,0.0,0,0.0,0,0.0,0,0.0,0,1,0,7,8,2,1,0.0,0,0,not_specified,1,0,1,Saint-Broladre,France,0,0,0,1
3983220576,black,42.0,adidas Superstar,50.15,1,110,0,0,1,0,0,1.0,19,0.0,0,0.0,0,0.0,0,1,0,20,20,0,0,0.0,0,0,not_specified,1,0,1,Douai,Frankrijk,0,0,1,1
3983110401,grey,41.0,adidas Originals,86.7,1,263,0,1,1,0,0,0.0,0,0.0,0,0.0,0,0.0,0,1,0,2,2,0,0,0.0,0,0,F,1,0,1,Toulouse,France,1,0,0,1
3982779030,grey,38.0,adidas,105.0,0,143,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,1,0,7,10,3,0,1.0,0,0,not_specified,1,0,1,Aubagne,France,0,0,0,1
3983299902,grey,42.0,adidas Superstar,50.34,1,271,0,0,1,0,0,1.0,16,0.0,0,0.0,0,0.0,0,1,0,17,17,0,0,0.0,0,0,not_specified,1,0,1,Paris 16,France,0,0,1,1
3978639179,grey,38.0,adidas Superstar,65.0,0,143,0,0,0,0,0,1.0,1,0.0,0,0.0,0,0.0,0,1,0,2,3,1,0,0.0,0,0,not_specified,1,0,1,Angoulême,France,0,0,1,1
3982933389,grey,39.0,adidas Superstar,59.74,1,137,0,0,1,0,0,1.0,4,0.0,0,0.0,0,0.0,0,1,0,5,5,0,0,0.0,0,0,not_specified,0,0,1,Colmar,France,0,0,1,1
3981833159,black,42.0,adidas,82.0,0,110,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,1,0,2,4,4,0,1.0,0,0,not_specified,1,0,1,Drancy,France,0,0,1,1
3982270206,grey,36.0,adidas Superstar,64.0,0,188,0,1,1,0,0,1.0,4,0.0,0,0.0,0,0.0,0,1,0,5,5,3,0,0.0,0,0,not_specified,1,0,1,Paris,France,0,0,1,1
3973647745,grey,38.0,adidas Superstar,78.0,0,143,0,0,0,0,0,1.0,2,0.0,0,0.0,0,0.0,0,1,0,3,3,0,3,0.2,0,0,not_specified,1,0,1,Paris,Francia,0,0,0,1
