,idUser,feedback_reputation
0,153548680,0.0
1,152650340,0.0
2,151914014,0.0
3,152650340,0.0
4,21323573,1.0
5,151881870,0.0
6,152700176,0.0
7,151914014,0.0
8,153546167,0.0
9,153552191,0.0
10,153548724,0.0
11,70295578,0.0
12,73194306,1.0
13,152711589,0.0
14,152640129,0.0
15,152644652,0.0
16,153555461,0.0
17,153162763,0.0
18,153545685,0.0
19,153545336,0.0
20,153162749,0.0
21,148153543,1.0
22,153552191,0.0
23,52427665,0.0
24,151919966,0.0
25,152721908,0.0
26,152650340,0.0
27,55619977,0.0
28,153546116,0.0
29,63104712,0.0
30,77765137,1.0
31,153545685,0.0
32,151920498,0.0
33,152711589,0.0
34,90095164,1.0
35,152706226,0.0
36,151135271,0.2
37,153162749,0.0
38,53620250,1.0
39,153160830,0.0
40,151919966,0.0
41,152410491,0.0
42,13702812,1.0
43,34445679,0.8
44,152644688,0.0
45,153548680,0.0
46,151893757,0.0
47,138559590,0.0
48,153162064,0.0
49,152252393,0.0
50,152639750,0.0
51,151070555,0.0
52,153162763,0.0
53,151920856,0.0
54,91417637,0.96
55,55763705,0.8
56,152721908,0.0
57,153162946,0.0
58,153547159,0.0
59,152706226,0.0
60,153547159,0.0
61,151126738,0.0
62,50465486,0.0
63,150588381,0.0
64,79780411,0.9800000000000001
65,72797980,0.0
66,17888989,1.0
67,152647101,0.0
68,147619391,0.0
69,153162946,0.0
70,49476751,1.0
71,151920830,0.0
72,49729989,0.8
73,54825462,0.0
74,151916367,0.0
75,151915173,0.0
76,153160834,0.0
77,153546116,0.0
78,151916152,0.0
79,34975682,0.0
80,81901296,1.0
81,71609423,1.0
82,64080836,0.9199999999999999
83,152640129,0.0
84,25157369,0.0
85,82952129,1.0
86,152640250,0.0
87,22128120,1.0
88,153162749,0.0
89,152639750,0.0
90,152721908,0.0
91,151126738,0.0
92,148404556,0.9199999999999999
93,151914014,0.0
94,17106313,0.8
95,57387910,1.0
96,64762388,0.9800000000000001
97,56859919,0.6
98,54172928,1.0
99,49131648,1.0
100,98650361,0.0
101,142200695,1.0
102,47369064,0.9400000000000001
103,153549235,0.0
104,152644652,0.0
105,44611377,0.6
106,152706226,0.0
107,150588381,0.0
108,50969018,1.0
109,37468953,1.0
110,38240561,0.9400000000000001
111,24349668,1.0
112,153162749,0.0
113,19106184,0.9800000000000001
114,153545685,0.0
115,20856291,0.9
116,152644652,0.0
117,70259761,0.8800000000000001
118,27099768,1.0
119,143460144,0.0
120,150588381,0.0
121,153545770,0.0
122,37565462,0.6
123,42256141,1.0
124,29936274,0.9800000000000001
125,52534148,0.9800000000000001
126,153545770,0.0
127,72839222,1.0
128,55674609,0.9800000000000001
129,62852976,1.0
130,14835475,0.96
131,177924191,0.0
132,150588381,0.0
133,153784200,1.0
134,147884202,1.0
135,153545685,0.0
136,25212959,1.0
137,152404400,0.0
138,152631633,0.0
139,151126738,0.0
140,19824080,0.96
141,151964049,0.0
142,151881104,0.0
143,17020920,0.96
144,75954482,1.0
145,20172875,0.0
146,19298599,1.0
147,40873335,1.0
148,27933916,0.0
149,15966741,1.0
150,153162763,0.0
151,19470697,0.96
152,28976992,0.9199999999999999
153,153546116,0.0
154,73928718,0.8
155,108464394,0.8800000000000001
156,20059472,0.72
157,133498391,0.9800000000000001
158,74977551,1.0
159,153162946,0.0
160,151920498,0.0
161,36696525,1.0
162,94685147,0.0
163,127975876,0.9199999999999999
164,32412874,0.9400000000000001
165,20797928,0.0
166,71460324,1.0
167,63103662,1.0
168,107103228,1.0
169,17186197,0.0
170,151126738,0.0
171,152706226,0.0
172,72044013,0.76
173,153552191,0.0
174,80195226,0.9400000000000001
175,51288877,0.6799999999999999
176,27464533,0.96
177,20567263,0.9800000000000001
178,25406429,0.0
179,151126738,0.0
180,17186197,0.0
181,49135998,0.0
182,42256141,1.0
183,18138947,0.0
184,151899883,0.0
185,35907087,0.9400000000000001
186,53573149,1.0
